,Total_name,Motif,Strandness,relative_fold,relative_fold_median,T_value,P_value,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
165,DOT6,DOT6,Both,1.044773796203995,1.0438961861535259,2.603577373170236,0.00923934245585331,2.432480122122227,0.014995814604517746,0.0404474265479653,6874,28876,Yes
387,YKL222C_f,YKL222C,Forward,1.0445879818596644,1.0295046900435687,1.6270734008954288,0.1038629672926457,1.3077350038642837,0.1909632063415876,0.3101833296377169,1972,33778,No
73,ARG81,ARG81,Both,1.0437655513614466,1.0326517781421929,3.2385382016645266,0.0012027135538995376,2.6273217809183116,0.008605990943100729,0.024805503306584455,15141,20609,Yes
565,MIG3_r,MIG3,Reverse,1.0433338123220754,1.088071958967844,0.7509581607158718,0.45313088394300727,1.3802011483902783,0.1675247205253293,0.2814415304825532,381,35369,No
286,RFX1_f,RFX1,Forward,1.0432839284169475,1.082006877024407,0.48501987440840555,0.628407036098269,0.7474996061441599,0.45476204046219604,0.5738199137162473,142,35608,No
82,HAP2,HAP2,Both,1.0431907846348347,1.0684561615213184,3.041812275298395,0.002354615613718191,3.687889125787168,0.00022612213437102135,0.0008863987667344037,10477,25273,Yes
537,HAP3_r,HAP3,Reverse,1.0428185023450147,1.157531359420674,0.5458011819049365,0.5858308377018335,0.8720459936554685,0.38318328678077707,0.5120722105161294,192,35558,No
244,XBP1_f,XBP1,Forward,1.0425151305335856,0.9985108370431683,1.3758849795914698,0.1689617001563937,0.15401604871260474,0.8775970815259113,0.9231253737696526,2691,33059,No
534,GCN4_r,GCN4,Reverse,1.0422002285745857,1.0232934870939783,1.8729741150088495,0.06115458238259697,1.769814397187789,0.07675806470395269,0.15726042524712258,2919,32831,No
452,MSN4_r,MSN4,Reverse,1.0417336095300824,1.0621468996066756,0.7330441755750646,0.4637804920367742,0.7886316829030534,0.43032730766701965,0.5585705450512308,673,35077,No
466,ASH1_r,ASH1,Reverse,1.0406374354864654,1.084397912489015,1.0719915915325238,0.2839886171854534,1.6406152113023675,0.10087731538311157,0.19384268446166536,920,34830,No
341,HAP3_f,HAP3,Forward,1.0406332972596668,1.0289308137758009,0.8797075380734083,0.37934831716082495,0.7778678595501106,0.4366469176909683,0.5630447096541433,615,35135,No
538,LEU3_r,LEU3,Reverse,1.0406093138351826,1.0973538539297214,0.7272173036628212,0.46749375515568914,0.9444250230083204,0.3449524993707972,0.4783775227123319,414,35336,No
359,ASG1_f,ASG1,Forward,1.0402793903089307,0.8897881188968646,0.6766445791195641,0.4989400491895881,-0.9137300947592003,0.3608586864465524,0.4946035142903795,496,35254,No
441,AFT2_r,AFT2,Reverse,1.0394219795572994,1.0497705007355995,1.2384690309519109,0.21573215718678515,1.651657221384012,0.09860444797710537,0.1919848192401919,1402,34348,No
42,PPR1,PPR1,Both,1.0392902145974356,1.045603051978619,0.4360857007525954,0.6630347004543518,0.2762813392188747,0.7823319874807804,0.8566316734426422,359,35391,No
27,YLR278C,YLR278C,Both,1.0391077106791335,1.0346307522634615,2.909721846372901,0.003620041092160315,2.360780568022411,0.018236517698658763,0.0483021279586097,15439,20311,Yes
375,RDR1_f,RDR1,Forward,1.0387036756570185,1.0489763064045523,1.2135360438243197,0.22509537681166475,1.0972737529156504,0.2725217410112193,0.41087893260153063,1541,34209,No
339,GCR1_f,GCR1,Forward,1.0380714489107703,1.0303168152333797,0.6559798435123064,0.5120590037342477,0.5405464177789885,0.5888202586663653,0.7022846087136366,664,35086,No
145,HAP3,HAP3,Both,1.0379715161353673,1.059258625673588,0.9480021797221521,0.34339882821859036,1.01530773595381,0.3099591579571046,0.441297784210115,803,34947,No
578,SUT2_r,SUT2,Reverse,1.0372350518828741,1.0099851352544074,0.4233803713143996,0.6722528491720854,-0.3630292899169369,0.7165830045653682,0.8056420777905094,384,35366,No
584,YLL054C_r,YLL054C,Reverse,1.0366905494882293,0.963309334653169,0.45319513308694387,0.6508175779794017,-0.27243679530964154,0.785286183696674,0.8582681710290787,238,35512,No
308,INO2_f,INO2,Forward,1.0363103027393168,1.0304136727781377,1.143652648473132,0.252874837531747,0.8996460292298057,0.3683086534997684,0.49899882087065395,2342,33408,No
342,LEU3_f,LEU3,Forward,1.03609346426278,1.043242673796449,0.7090735622057636,0.47860778264547044,0.9200296025805365,0.3575572899418431,0.4923739730346692,487,35263,No
226,YPR022C_f,YPR022C,Forward,1.0360105841052645,1.0718099337531897,1.8068281943240057,0.07084509313386049,2.94036236531506,0.0032782860896846963,0.01053350940292132,4160,31590,Yes
200,EDS1_f,EDS1,Forward,1.035913875055742,1.043952265908986,1.526499985975545,0.12698667007313155,2.2307001640446886,0.025700996770654825,0.0645819918852352,2631,33119,No
370,NDT80_f,NDT80,Forward,1.0358633628293932,1.004107556508338,0.6739104706058991,0.5006429356757582,0.7528252053444515,0.45155495828638137,0.5734650442168299,551,35199,No
63,SOK2,SOK2,Both,1.0357950077626472,1.052876178641113,2.625658894787119,0.008652849070799534,3.541738697238237,0.0003974990306318603,0.001507931806526025,13743,22007,Yes
518,HAP5_r,HAP5,Reverse,1.0357287398532584,1.137817253324396,0.730262772134973,0.46556088147642616,1.6558906968180116,0.09774395595931286,0.19094168140889023,499,35251,No
126,HAP5,HAP5,Both,1.034855939401549,1.0662410620680056,1.3156988390812316,0.18842105139227888,2.0613956696037663,0.03926530765430563,0.09125692055625181,1814,33936,No
265,UME1_f,UME1,Forward,1.0328762013468005,1.017632002125092,0.5746829159255873,0.5657725299370675,0.37709874594853016,0.7061002231163511,0.7984364061392586,473,35277,No
384,TBS1_f,TBS1,Forward,1.032684249068881,1.1958359491975348,0.5689643053469917,0.5697453747914291,1.4411366801492826,0.1495460727174443,0.25786830134268984,342,35408,No
340,HAP1_f,HAP1,Forward,1.0323246495866956,1.0232287099862116,1.2336736717349426,0.21744059725378198,1.2238080102287072,0.2210246618522892,0.34749331863408034,2184,33566,No
6,FZF1,FZF1,Both,1.032172523619454,1.0561299004460716,1.1846008865134194,0.23628629820990393,1.4543736764228594,0.14584273396637137,0.2529661580301663,2240,33510,No
33,ADR1,ADR1,Both,1.031541992473374,1.0617559585169856,0.5917004335761328,0.55435365274187,0.8117529397078993,0.41693341047093657,0.5460063370977967,430,35320,No
546,RPN4_r,RPN4,Reverse,1.0315184614699213,1.1122369339133433,0.5211509893365575,0.6026598024493667,1.5044080944351024,0.1324763213675317,0.23676619138026944,284,35466,No
322,HAP5_f,HAP5,Forward,1.0314762663621049,1.0511416020602509,1.026474627725036,0.30483721590261437,1.3369879221281256,0.1812265793056157,0.3010204198635651,1334,34416,No
576,STB3_r,STB3,Reverse,1.0312153033989553,1.0471201845723057,0.3195199064572935,0.7498971237876224,0.8305265216725664,0.40624115916447745,0.5392094843989,118,35632,No
389,YPR013C_f,YPR013C,Forward,1.0305733765465814,0.9019106895094768,0.36791038881349747,0.7130315633350656,-1.9698739765240636,0.0488528155987682,0.10922226453260724,842,34908,No
543,PHD1_r,PHD1,Reverse,1.0302092753769836,1.0362237061708965,1.7510234145158912,0.07996810918771069,1.7393798754599172,0.0819679657141051,0.16619711668928897,8240,27510,No
149,MET31,MET31,Both,1.030061111480587,1.059612936153456,1.0915514608794328,0.27516192483349355,1.5963518658350337,0.11041025634345195,0.2080808677241979,1772,33978,No
62,RIM101,RIM101,Both,1.0294311854656084,0.8928388221623634,0.2697767706438366,0.7874715473410113,-1.1924164160286623,0.23309800661428548,0.3616401791271764,397,35353,No
204,GSM1_f,GSM1,Forward,1.0293385161864845,1.0460685423416956,2.236889980091473,0.02529978979001481,2.700270006617601,0.006928322214181485,0.020369267309693562,16448,19302,Yes
46,UPC2,UPC2,Both,1.0288145469893382,1.154998196131305,0.5854797536407912,0.5585272623433335,1.5945862453005586,0.11080479044525654,0.20815724211441164,423,35327,No
146,LEU3,LEU3,Both,1.0286686041103896,1.0621496044813086,0.6377979079194348,0.5238316107739478,0.8254313592504765,0.40912673734530547,0.5405989248517744,619,35131,No
235,MIG1_f,MIG1,Forward,1.0279616380304692,1.205184190517063,0.21006053271569897,0.8344072783561732,0.6025299938308092,0.5468214040265484,0.6656956222931893,55,35695,No
337,ERT1_f,ERT1,Forward,1.0247082986610243,1.0242851621923295,1.3209532414615694,0.186561275060051,1.3152023413125842,0.18844190850502462,0.30778845055820686,5071,30679,No
319,YAP5_f,YAP5,Forward,1.0246041754215125,1.0653039023285855,0.5358848690121668,0.592238101413062,1.2848052603366404,0.1988603437036388,0.3186100329638682,573,35177,No
173,MIG3,MIG3,Both,1.0243139286062817,1.0793249832149645,0.46640106523618097,0.6411461916914567,1.1014935520247917,0.2706819092801298,0.4091541456470857,453,35297,No
