,Total_name,Motif,Strandness,relative_fold,relative_fold_median,T_value,P_value,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
120,SMP1,SMP1,Both,1.0012947722994117,1.0118531076352562,0.13261016993947444,0.894502856353862,0.9139413900062597,0.36074764348187505,0.4532470392464584,12825,33243,No
80,GTS1,GTS1,Both,1.0012321211905495,1.0043788883976856,0.12955291774823222,0.8969212509874718,1.1062789493497713,0.26860580024501746,0.35572119491907717,12643,33425,No
4,EDS1,EDS1,Both,1.000963459673101,1.0047118152198318,0.08157144638647813,0.934989200292176,-0.21796113989115576,0.8274593893576476,0.8782420955637126,6848,39220,No
275,GCR2_f,GCR2,Forward,1.0000190878299757,1.0120417019762302,0.0011494489395776914,0.9990829329467603,0.2383022591418787,0.8116466692747499,0.8630167116339114,3266,42802,No
214,RSF2_f,RSF2,Forward,0.9997365634043113,0.9550196008855171,-0.00868703206421558,0.9930705386753039,-0.8142549036186238,0.4154989384406318,0.5068742236578662,978,45090,No
339,GCR1_f,GCR1,Forward,0.9995486679590376,1.0069343521273095,-0.014625569701710962,0.9883341796974978,-0.25390185273343113,0.7995713834124685,0.8563715363324799,855,45213,No
351,SIP4_f,SIP4,Forward,0.9989767902649042,1.1843303917418089,-0.02195034802299017,0.9825047683073863,1.3464198508933554,0.17816715254725302,0.2500293214744267,251,45817,No
108,ARR1,ARR1,Both,0.998465246057897,1.0184784534530316,-0.16851965361022206,0.866175602355707,1.0984289065785116,0.27201724570132924,0.3594295291514193,14813,31255,No
324,INO4_f,INO4,Forward,0.9983590360545075,0.9696827416022273,-0.049482102315522615,0.9605487095720693,-0.11392167166934775,0.9092998858987376,0.9413174875148904,702,45366,No
293,SPT23_f,SPT23,Forward,0.9981188261841198,0.9842770717317443,-0.15942773358996454,0.8733351128526949,-0.45994114197019126,0.645558468223486,0.7299776525296341,7088,38980,No
37,DIG1,DIG1,Both,0.9981158233607055,1.0033954663949558,-0.13043613520322392,0.8962260583643946,-0.023011186137520845,0.9816413500652049,0.993468354282858,4549,41519,No
523,SPT15_r,SPT15,Reverse,0.9976968757741289,0.9839918717670859,-0.1389403419194986,0.8895050865238836,-0.36718408737682895,0.7134817080403637,0.7871055240670429,3082,42986,No
166,ECM22,ECM22,Both,0.9973548567612223,0.9454664041925777,-0.14203222168710397,0.8870641344310143,-2.3739673469613702,0.017598106688765335,0.032135673083832354,2655,43413,Yes
337,ERT1_f,ERT1,Forward,0.9969481096020828,0.9864021811247236,-0.2478175148773803,0.8042813691074518,-1.1983612215301958,0.23077642222671768,0.3126648301136175,6487,39581,No
322,HAP5_f,HAP5,Forward,0.9967264899366955,1.0280435522317035,-0.15262788111532602,0.8787081946843028,0.24152448618893607,0.8091486408854232,0.861919204421429,1716,44352,No
51,MSN1,MSN1,Both,0.9964471189359125,1.0068975706304186,-0.2870506805401797,0.7740797823863299,-0.03786974017682526,0.9697915395760316,0.9865699399147173,7009,39059,No
466,ASH1_r,ASH1,Reverse,0.996405405170213,0.9834367909935099,-0.13125662008949263,0.8955941958392766,-0.29210552961654795,0.7702059389547521,0.8355739706741591,1146,44922,No
482,RFX1_r,RFX1,Reverse,0.9962783533594288,1.0288625654843728,-0.05059616637582145,0.9597562458396727,0.8118615025448527,0.4168711066775592,0.5074952603031155,93,45975,No
403,HMRA2_r,HMRA2,Reverse,0.9959104900983615,1.021867364179056,-0.34365485115284017,0.7311142181514372,1.0686336890913681,0.2852347619819712,0.3743706251013372,6191,39877,No
411,STE12_r,STE12,Reverse,0.9958517147931886,0.9613309169674091,-0.16436267529989101,0.8694598953420855,-1.381286609346188,0.16719085380171417,0.23631784143126908,2194,43874,No
551,YAP7_r,YAP7,Reverse,0.9954649542042039,0.9819191639946172,-0.2235934868020131,0.8230948113448933,-0.1810712485904157,0.8563116518404159,0.8959274933846344,1956,44112,No
54,DAL80,DAL80,Both,0.9954070426321271,0.9881841064466286,-0.48174053615635687,0.6299948503250494,-0.19415420957763638,0.8460551360129952,0.888357892813645,12345,33723,No
338,GCN4_f,GCN4,Forward,0.9953883511211007,0.9908535829856207,-0.2993857122947291,0.7646598692412842,0.08538070936128994,0.9319587288546436,0.961389004502685,3684,42384,No
423,YPR196W_r,YPR196W,Reverse,0.9947781014364279,0.9824583713506753,-0.5776105197508618,0.5635311715601439,-1.5151291978174974,0.12973968881245315,0.18882905203396647,15353,30715,No
